token,occurrence
tschadsee,10
bekämpften,10
homelands,10
garcia,10
deutschem,10
lim,10
freund,10
singt,10
sinkende,10
bekanntgabe,10
ausdrucksformen,10
holten,10
weltwirtschaft,10
solange,10
solar,10
ausstehenden,10
ausgearbeitete,10
gallup,10
verfehlte,10
643,10
basler,10
980,10
krönen,10
tödlich,10
gagausien,10
dezentralisiert,10
beschließen,10
weltrisikobericht,10
weltrekord,10
kublai,10
disparitäten,10
zelaya,10
lehnen,10
lehren,10
gewaltanwendung,10
holdings,10
highveld,10
bruneiische,10
ausfallen,10
aussöhnung,10
sobald,10
leitlinien,10
gewachsene,10
frist,10
verfassungsmäßigen,10
975,10
ausstoß,10
leistungsbilanzdefizit,10
diözese,10
kritischer,10
wählern,10
ccc,10
lehrplan,10
lehrkräften,10
sohnes,10
schwarzafrikanischer,10
bestimmend,10
brahmaputra,10
straßenverbindungen,10
242,10
awaren,10
aspekten,10
sanitären,10
bevorzugten,10
festlands,10
sanktioniert,10
walk,10
gegenteil,10
missioniert,10
sardinen,10
misshandlung,10
ff,10
miskito,10
höhenunterschiede,10
kindes,10
minus,10
assoziierung,10
suchten,10
sangha,10
waldguinea,10
beinamen,10
mobilfunknetze,10
fertigte,10
brasilianischer,10
sammelte,10
mobutus,10
kennzeichnend,10
mobiltelefonie,10
1565,10
zugehörigen,10
eindämmung,10
zahlte,10
574,10
sumpfgebiete,10
eindeutige,10
sandra,10
waldgebiet,10
unity,10
sang,10
einbindung,10
eigenheiten,10
filmfestivals,10
kennedy,10
bürokratische,10
beachtete,10
militärhilfe,10
klassiker,10
westseite,10
finanzsystem,10
höchstgelegene,10
militärberater,10
geförderten,10
914,10
zoroastrismus,10
westport,10
militante,10
betroffene,10
geförderte,10
scheinen,10
schekel,10
schellenberg,10
schengener,10
ständiges,10
stürmen,10
asylsuchende,10
363,10
vergleichbare,10
harbor,10
kirchenmusik,10
gegenreformation,10
fin,10
subkontinents,10
sb,10
366,10
kirgisisch,10
910,10
zuckerindustrie,10
höfischen,10
schaffhausen,10
stützte,10
kisangani,10
zuckerrüben,10
milliardäre,10
verwies,10
klaipėda,10
verdrängung,10
ken,10
effekte,10
verziert,10
brauch,10
eingeschleppte,10
giraffen,10
eingeschleppt,10
musikalisch,10
syrdarja,10
artenreichen,10
237,10
artenreichsten,10
brünn,10
symbolisiert,10
munition,10
zugeteilt,10
multilaterale,10
multi,10
feierte,10
mudschahedin,10
hürde,10
katalanischen,10
fehler,10
karthala,10
eingeschleppten,10
mutmaßlich,10
kardamom,10
mächten,10
karel,10
habsburgern,10
russell,10
gesicherten,10
561,10
beweise,10
wickelt,10
musiktradition,10
mustern,10
federico,10
verlieh,10
unstimmigkeiten,10
muslimbruderschaft,10
hafens,10
kars,10
wichtigkeit,10
moïse,10
rückschlag,10
universitäre,10
hülsenfrüchte,10
1569,10
sagt,10
bündnisse,10
monitoring,10
einführten,10
mongolensturm,10
äquators,10
wai,10
fernsehsendern,10
barre,10
monatelang,10
körperschaft,10
überlandbusse,10
fernsehstationen,10
monarch,10
salomon,10
fernstraße,10
salto,10
bereitet,10
378,10
halfen,10
sadat,10
motorräder,10
abstieg,10
abstimmen,10
moussa,10
katastrophal,10
rücksicht,10
verdrängen,10
katastrophen,10
wahrnimmt,10
rückzugsgebiet,10
gehobenen,10
halbes,10
moses,10
alphabetisierungsgrad,10
halbstaatliche,10
katrin,10
fern,10
eingegangen,10
kaufkraft,10
vereidigung,10
inflationsraten,10
kolonialismus,10
attraktivität,10
bruttosozialprodukts,10
cameroun,10
bayerischen,10
dzurinda,10
merina,10
abzulegen,10
camara,10
kolonialregierung,10
vermeintlich,10
schulpflichtigen,10
geformt,10
kluft,10
díaz,10
five,10
schulabschluss,10
berger,10
metallverarbeitung,10
campo,10
gefasst,10
kliniken,10
ed,10
chiang,10
hauptziele,10
hauptaufgabe,10
1350,10
stromes,10
meereshöhe,10
1713,10
meeren,10
stromausfälle,10
tre,10
knochen,10
meeresfrüchte,10
ebola,10
studienplätze,10
schuldig,10
hygienischen,10
fluggäste,10
schulische,10
356,10
äußerste,10
knappen,10
stromausfällen,10
menschenrecht,10
menem,10
357,10
ecológica,10
california,10
memel,10
194,10
menschlichkeit,10
zivilrecht,10
autorennfahrer,10
geeigneten,10
chenla,10
edinburgh,10
mehrparteiensystems,10
strebten,10
alex,10
gefährdungslage,10
schiefer,10
verwandeln,10
schienen,10
meistbesuchte,10
zollgebiet,10
mečiar,10
unberührbaren,10
düsseldorf,10
häusliche,10
hänge,10
audio,10
hauptteil,10
mieszko,10
3600,10
chemischen,10
flusstälern,10
vermehrten,10
beitreten,10
kolonisiert,10
dutzende,10
schura,10
flächendeckendes,10
schlangenarten,10
mig,10
bruttoregistertonnen,10
kochbananen,10
schwankte,10
mehrheiten,10
deckten,10
schimpansen,10
kochen,10
schildert,10
schnellstraße,10
bündnisses,9
grænlendingar,9
cannabis,9
tsunamis,9
chiwa,9
verbrennung,9
getrockneten,9
befehl,9
halbwüste,9
hinterlandes,9
gewinner,9
grenzkonflikte,9
hauptverkehrsmittel,9
befassen,9
bühne,9
cebu,9
umweltbewusstsein,9
tsd,9
belastete,9
verdoppelte,9
giorgi,9
halbbruder,9
hinreichend,9
challenge,9
hauptwasserscheide,9
glarus,9
baubeginn,9
heidnischen,9
hofft,9
unbefestigt,9
getrieben,9
caricom,9
hinwendung,9
cha,9
veranstalter,9
vergleiche,9
ineffiziente,9
importabhängigkeit,9
hafenanlagen,9
giuseppe,9
basalt,9
getanzt,9
verfehlt,9
haddsch,9
turkmenisch,9
turkestan,9
hunnen,9
giz,9
unwahrscheinlich,9
battista,9
graben,9
824,9
gesängen,9
hurrikane,9
hazara,9
verhalf,9
böhlau,9
iberische,9
tung,9
bekleidet,9
hochhäuser,9
tragende,9
hochkulturen,9
train,9
hl,9
abbasiden,9
gründungsmitgliedern,9
hwan,9
abflusslosen,9
unbedeutende,9
bsp,9
historic,9
hunderten,9
greater,9
größenordnung,9
tv3,9
beitrittskandidat,9
industries,9
verfassungszusatz,9
inbesitznahme,9
gtai,9
verdoppeln,9
bösen,9
bruttonationaleinkommen,9
geschriebenen,9
campbell,9
hitlers,9
iaea,9
unaids,9
vergleichen,9
1754,9
haushaltsjahr,9
turner,9
1832,9
building,9
756,9
günter,9
bundesdistrikt,9
tim,9
tscherkessen,9
1704,9
1775,9
herrscherfamilie,9
urteilte,9
brutale,9
abessinien,9
umgeschlagen,9
herrschaftsbereich,9
789,9
8100,9
herrenhaus,9
verbotenen,9
gleiches,9
übersetzte,9
guido,9
ghani,9
bedscha,9
gewürzt,9
ursula,9
überzeugung,9
trockenperioden,9
byzantiner,9
barriere,9
hervorgehoben,9
grundordnung,9
vale,9
urteilen,9
1721,9
indogermanische,9
cacheu,9
gleichgeschlechtlicher,9
bediente,9
bauprojekte,9
gespielte,9
gestiegene,9
hare,9
trondheim,9
unterstellten,9
wirtschaftsform,9
großprojekte,9
verfasser,9
gewerkschafter,9
überseeischen,9
umgebracht,9
va,9
herausforderer,9
wohin,9
1778,9
verhandlung,9
geäußert,9
herald,9
uttar,9
brisbane,9
bars,9
herbert,9
helfer,9
ung,9
ghanaer,9
herden,9
work,9
hrvatske,9
barrow,9
charakters,9
vereinbar,9
carmen,9
abbruch,9
gurung,9
aarhus,9
hannover,9
handys,9
vatikanische,9
cbc,9
tötungsdelikten,9
gewechselt,9
hauptsprache,9
begegnungen,9
urgeschichte,9
wirtschaftssystem,9
heiliges,9
hölzerne,9
varna,9
varietät,9
umsteigen,9
1766,9
belange,9
bedeutsame,9
86099,9
198,9
tschadsees,9
hinduistisch,9
hoheitsrechte,9
hamid,9
wodka,9
geschmuggelt,9
guard,9
grenzregionen,9
1730,9
cantopop,9
unterhielten,9
bäche,9
hokkaidō,9
vaterland,9
cambio,9
chennai,9
1768,9
holstein,9
verfassungsmäßige,9
immergrünen,9
gyanendra,9
1784,9
unternahmen,9
holzprodukte,9
gil,9
befürworter,9
962,9
hilfslieferungen,9
befürchtungen,9
tourismusbranche,9
hauptort,9
heiratete,9
währungsreserven,9
uniformen,9
1873,9
tiraspol,9
beitrugen,9
heimlich,9
handelssprache,9
bundeskanzlerin,9
gesetzbuch,9
unterlegenen,9
gilbertinseln,9
gliederte,9
184,9
transferleistungen,9
höheres,9
grippe,9
transcript,9
handelsflotte,9
hilfsgelder,9
befunden,9
verstaatlichte,9
verhinderten,9
omanern,9
mandaten,9
formuliert,9
manager,9
338,9
erwarteten,9
olympisches,9
forschungsstation,9
vertriebene,9
forst,9
omanische,9
auflagenstärksten,9
malaya,9
zerschlagen,9
malawis,9
formierte,9
mande,9
aufgelistet,9
mannes,9
wasserläufe,9
mannschaftssportarten,9
aufgelösten,9
seegrenze,9
raubbau,9
akut,9
dunedin,9
bombenanschlägen,9
erweitern,9
seenplatte,9
mangelt,9
bombay,9
ratings,9
mandela,9
rassismus,9
onkel,9
bond,9
614,9
senufo,9
besorgnis,9
operierenden,9
separatismus,9
vista,9
aufsteigen,9
lòria,9
fortsetzen,9
serra,9
rarotonga,9
sesshaften,9
dresden,9
445,9
326,9
webportal,9
web,9
machtkampf,9
machtkämpfe,9
zerfallen,9
fragile,9
aufschwungs,9
drogenhandels,9
madagassen,9
bong,9
magdalena,9
magufuli,9
maha,9
vorkolonialen,9
mahmoud,9
mainz,9
aufnahmen,9
seegebiet,9
1386,9
alfredo,9
visayas,9
oberschule,9
schulgebühren,9
medikamenten,9
attraktiv,9
schuljahren,9
dämme,9
oberösterreich,9
medwedew,9
medical,9
rechnet,9
warnt,9
medaillengewinner,9
duterte,9
observatorium,9
medizinisches,9
analog,9
öbb,9
schriftliche,9
betrafen,9
melanesien,9
schnitzereien,9
äußerten,9
schreibung,9
dünger,9
schriftzeichen,9
zitronen,9
354,9
atp,9
592,9
353,9
beton,9
nüsse,9
dutch,9
schutztruppe,9
schutzzonen,9
marihuana,9
zielte,9
encyclopaedia,9
markant,9
zylindertrommel,9
aufgebracht,9
sdp,9
marienkathedrale,9
reap,9
342,9
aufgegriffen,9
akzeptanz,9
blanc,9
forcierte,9
ford,9
aufführung,9
folgendes,9
alawiten,9
folgejahr,9
raymond,9
maschhad,9
aufenthalts,9
ap,9
rda,9
mata,9
mauer,9
mauern,9
reagierten,9
realen,9
wartezeiten,9
bolivia,9
438,9
länderporträt,9
zentraltal,9
zentralpolen,9
djallon,9
636,9
anderswo,9
qualifizierter,9
sociales,9
308,9
socialista,9
leistungsfähigkeit,9
smer,9
agrarisch,9
sodann,9
leichtindustrie,9
frucht,9
leichtathleten,9
weinanbau,9
309,9
dna,9
rapid,9
slovenskej,9
vizekönigreich,9
oruro,9
slovakia,9
friedensvertrages,9
beschuldigten,9
bizerte,9
agrarstaat,9
rabat,9
antrat,9
452,9
radar,9
leslie,9
slums,9
leser,9
diversifizierung,9
andrade,9
diverser,9
andrei,9
sonnenblumen,9
weitergehende,9
ostukraine,9
lauter,9
lauten,9
zuschlag,9
ennahda,9
legitime,9
sorten,9
sousse,9
latein,9
latam,9
latakia,9
weitläufige,9
lebendige,9
lebensjahres,9
sonderrolle,9
beschlossene,9
son,9
ostslowakei,9
lech,9
lederwaren,9
engländern,9
reiseziele,9
legendäre,9
legendären,9
642,9
oströmischen,9
disziplin,9
disziplinen,9
solidarność,9
sky,9
skorpione,9
orthodoxer,9
loma,9
sicherheitspolitische,9
zentralisiert,9
sicherstellen,9
sichert,9
sicherten,9
augsburg,9
lokomotiven,9
siedlungsgebieten,9
sidi,9
317,9
loja,9
logistischen,9
lng,9
freihandelsassoziation,9
anwälte,9
freeport,9
randgebirge,9
luc,9
rangierte,9
frederick,9
optimale,9
drastische,9
shs,9
aiwo,9
shire,9
zentralistischen,9
shield,9
sheikh,9
aufwertung,9
zentralkomitees,9
sfax,9
622,9
1453,9
erschöpfung,9
dominica,9
fremder,9
limón,9
sing,9
rai,9
origins,9
sirleaf,9
libyer,9
ordens,9
freundschaftliche,9
borealen,9
orlando,9
skandinavische,9
erschütterte,9
1458,9
linienverkehr,9
linksgerichteten,9
zusammenhängen,9
ralph,9
donnerstag,9
organisatorisch,9
ram,9
liportal,9
doors,9
list,9
silben,9
sikkim,9
siem,9
siegreichen,9
literatursprache,9
dorfgemeinschaften,9
litern,9
betrag,9
meldungen,9
bescheidenen,9
rosatom,9
nachschub,9
nachrichtendienst,9
nachnamen,9
rollen,9
einheitliches,9
nachfolgern,9
393,9
beworben,9
bewirkte,9
391,9
farsi,9
arms,9
ruander,9
mündliche,9
rohanis,9
rockmusik,9
ariki,9
altsteinzeit,9
riss,9
naoero,9
einkaufen,9
falklandkrieg,9
bewältigung,9
zürcher,9
nahuatl,9
nahegelegenen,9
einigkeit,9
vorstand,9
nominalen,9
ältester,9
nominierte,9
425,9
münchner,9
müang,9
regierungsstil,9
musikerin,9
arsenal,9
nordrhein,9
rändern,9
artefakte,9
musikinstrument,9
biber,9
räumt,9
wahllokale,9
boa,9
verändern,9
muscheln,9
murillo,9
eingerichtete,9
nordvietnam,9
eingeschränktes,9
nordrand,9
fehl,9
rustawi,9
eingeschult,9
musée,9
mutmaßliche,9
mwanza,9
mzuzu,9
fbp,9
alternativ,9
mário,9
männerwahlrecht,9
rundfunkanstalten,9
runden,9
regierungsseite,9
wahlniederlage,9
narva,9
nasheed,9
flat,9
zulässt,9
neuauflage,9
amazonien,9
republikaner,9
ewe,9
netball,9
einsetzung,9
nepalesen,9
repertoire,9
neo,9
einsetzende,9
nennenswert,9
resolutionen,9
resorts,9
niederschlagen,9
reportagen,9
vulkans,9
nasional,9
nhl,9
amerikanisches,9
539,9
vorzuweisen,9
nichtstaatliche,9
nicholas,9
einzelgewerkschaften,9
zuordnen,9
neuerlichen,9
relations,9
relevante,9
ä,9
reiseinformation,9
neum,9
eintreten,9
405,9
negros,9
547,9
wacholder,9
zulassen,9
rhodopen,9
nirgendwo,9
nischni,9
nationalsozialistische,9
waag,9
551,9
völkerbundsmandat,9
argentinischer,9
njassaland,9
rinderzucht,9
533,9
ariel,9
nasser,9
völlige,9
niltal,9
rehe,9
völkerrechtlichen,9
fachhochschule,9
natürlich,9
revision,9
navarra,9
navigation,9
archives,9
nazca,9
resultierte,9
nihon,9
resultiert,9
vorwürfen,9
einzigartigen,9
einschulungsrate,9
mundart,9
eingeordnet,9
rückbesinnung,9
verwerfungen,9
zuckerrohrplantagen,9
militärjunta,9
nullen,9
wanderte,9
beträchtlicher,9
militärführung,9
reformprogramm,9
wandelte,9
egede,9
nuno,9
atafu,9
finanzzentrum,9
atakora,9
schelfeis,9
verwicklung,9
minas,9
ethnologe,9
nui,9
feuchtwälder,9
missionary,9
saranda,9
nu,9
verwundet,9
mischwälder,9
wallonien,9
astronom,9
satellitenfernsehen,9
nuku,9
assuan,9
assyrien,9
filmproduktionen,9
eier,9
finnischer,9
mihály,9
schickte,9
verwandter,9
atmosphäre,9
fl,9
mentalität,9
nächstgelegenen,9
economics,9
menschenrechtskonvention,9
atombombe,9
michelle,9
reedereien,9
menschenhandel,9
näherte,9
mende,9
memorial,9
melodie,9
vororten,9
merklich,9
schlimmsten,9
esc,9
atlantiks,9
meteorologische,9
eda,9
meterspur,9
fischereiwirtschaft,9
schlachten,9
edgar,9
españa,9
schildes,9
aljaksandr,9
biblischen,9
fis,9
edmond,9
missionsstationen,9
assimilation,9
walker,9
moosen,9
saarc,9
ferghanatal,9
bevölkerungsverteilung,9
morgens,9
morena,9
moral,9
moon,9
asbest,9
saipan,9
eingang,9
monrovias,9
saiteninstrumente,9
monokulturen,9
einführen,9
saarbrücken,9
regierungsführung,9
mosel,9
bevölkerungszahlen,9
mostar,9
felsmalereien,9
rüdiger,9
motivierten,9
arturo,9
eingelegt,9
feldzug,9
feldkirch,9
mountain,9
mu,9
nordwestküste,9
feind,9
artikeln,9
monegassischen,9
monats,9
villen,9
festlegen,9
mittelwelle,9
mittelslowakei,9
einblicke,9
einblick,9
mittelmeerklima,9
bevorzugung,9
festnahme,9
fernsehsendungen,9
mithin,9
sankaras,9
eigenversorgung,9
festzustellen,9
allmählichen,9
eigentums,9
375,9
528,9
eindringen,9
ethiopia,9
alma,9
zugehörige,9
mobiltelefonen,9
ärztliche,9
almeida,9
moderaten,9
vilhelm,9
alois,9
viktoriasee,9
normal,9
moment,9
salpeterkrieg,9
377,9
öleinnahmen,9
sommermonate,9
stände,9
zweisprachige,9
phosphatvorkommen,9
annobón,9
karakorum,9
entwarf,9
sämtlich,9
geknüpft,9
493,9
yukon,9
kantons,9
bir,9
gelassen,9
überließ,9
pilgerfahrt,9
annektierte,9
geistlicher,9
säkularismus,9
kargen,9
phosphate,9
säkular,9
szeged,9
phosphatabbau,9
kasai,9
privatisierungen,9
symphonieorchester,9
kaschmirs,9
philippinischer,9
kaste,9
geier,9
symbolisch,9
darlehen,9
entstehenden,9
pilze,9
kanalisation,9
pflegte,9
jyutping,9
kabinettsmitglieder,9
erfunden,9
überproportional,9
südosteuropas,9
prešov,9
preußischen,9
planet,9
kanak,9
justicia,9
yle,9
überqueren,9
südwestküste,9
südwestliche,9
südöstliche,9
daimler,9
südeuropa,9
gelobt,9
gelistet,9
zweijährigen,9
gelehrte,9
abschneiden,9
binnenlage,9
kalmarer,9
südasiatischen,9
angetrieben,9
kaltzeit,9
angetreten,9
erfüllten,9
kampfes,9
primärenergieverbrauch,9
kampfhubschrauber,9
suðuroy,9
angeprangert,9
jules,9
gefährlichsten,9
bergig,9
entsorgung,9
klippen,9
anrufe,9
vermehrte,9
gefährliche,9
funan,9
bergbaus,9
kleinstaaten,9
zweitgrößter,9
verlässt,9
gefäßpflanzen,9
stätte,9
westsamoa,9
peruaner,9
westindien,9
vermeintliche,9
473,9
personenverkehrs,9
vermeintlichen,9
koalitionspartner,9
student,9
sträucher,9
strukturwandel,9
251,9
abzuschaffen,9
kohlendioxid,9
vermieden,9
personenschutz,9
strukturellen,9
kokosnuss,9
peschawar,9
stößt,9
abstrakten,9
pferd,9
bereitstellung,9
kernreaktoren,9
abtrennung,9
summen,9
kernkraftwerks,9
gehaltenen,9
gehe,9
gefüllt,9
data,9
wetterbedingungen,9
überlandstraßen,9
geheimdienste,9
entsprechendes,9
kazimierz,9
key,9
sultane,9
khans,9
suez,9
westtimor,9
peuple,9
erhobenen,9
days,9
peters,9
westslowakei,9
angemessene,9
gegenkandidat,9
stütze,9
abweichen,9
kke,9
abweichend,9
professor,9
erforderlichen,9
cámara,9
projektes,9
command,9
balzers,9
wirbelstürmen,9
gerd,9
abgesichert,9
władysław,9
abgeschlossene,9
484,9
colón,9
bamiyan,9
gerichtshöfe,9
anhebung,9
comics,9
polynesiern,9
integraler,9
xi,9
investition,9
geplündert,9
brest,9
polnischer,9
baltica,9
georgischer,9
telekommunikationsunternehmen,9
telefongesellschaft,9
bio,9
brennstoffen,9
teilungsplan,9
isaac,9
erdölraffinerie,9
verkehrsträger,9
isced,9
georgi,9
terroristischer,9
coltan,9
islamischem,9
verhält,9
banka,9
coca,9
thiès,9
thronfolge,9
populistische,9
populärsten,9
thunfisch,9
brexit,9
geschafft,9
tian,9
climate,9
belizes,9
wörterbuch,9
classic,9
inlandsflüge,9
banja,9
biodiversitäts,9
porträt,9
theorien,9
theologische,9
collection,9
würzburg,9
gesamtauflage,9
gesamt,9
porträts,9
innovative,9
gerodet,9
colonization,9
verhängten,9
belt,9
erdölexportierender,9
ereigneten,9
abgezogen,9
erforderliche,9
breitengrades,9
488,9
countys,9
verkündung,9
talkessel,9
jemand,9
jeli,9
ableitet,9
corte,9
benito,9
jeff,9
plänen,9
praktizierte,9
poeten,9
ablehnten,9
jesu,9
wildbahn,9
jg,9
jiddisch,9
joensen,9
taifun,9
cristina,9
verlagerte,9
jonas,9
plaza,9
jordanischen,9
jordans,9
jornal,9
223,9
presseagentur,9
jr,9
presselandschaft,9
generalstreiks,9
tankstellen,9
islamismus,9
abhängige,9
geologe,9
erbfolgekrieg,9
ankerte,9
istrien,9
isthmus,9
abhängigen,9
tech,9
ablehnen,9
geomorphologie,9
erblich,9
technischer,9
anker,9
politischem,9
geordnet,9
policía,9
poti,9
taupo,9
jackson,9
anknüpfen,9
abiy,9
polarfüchse,9
jahreshälfte,9
jahresniederschläge,9
erfindung,9
benennung,9
willkürlich,9
jahrzehntelange,9
generellen,9
zweifellige,9
1067,9
verkündeten,9
personenbeförderung,9
vorübergehende,9
zuverlässig,9
289,9
zweitwichtigster,9
auslands,9
erlebnisse,9
kreolsprachen,9
puntland,9
zehntausend,9
stahlwerk,9
gao,9
staffel,9
273,9
bitcoin,9
zehnten,9
stadtverwaltung,9
sporadisch,9
kriegshandlungen,9
spezialisten,9
deutschstämmigen,9
bourguiba,9
dikasterium,9
eric,9
parteienbündnis,9
fährverbindung,9
kriterium,9
stadtbezirke,9
ladislaus,9
kritisieren,9
weltbekannt,9
bouvet,9
spezialeinheit,9
adi,9
verpflichteten,9
patois,9
königen,9
gaspipeline,9
dinge,9
landesweiter,9
spd,9
fußballliga,9
kotlina,9
fußballnationalspieler,9
kotte,9
zuwachsraten,9
auswanderern,9
pasok,9
erlassene,9
kraj,9
stara,9
stanisław,9
krankenhausbetten,9
stanislaus,9
bernardo,9
weltanschauung,9
vorgetragen,9
krebs,9
volksaufstand,9
ladakh,9
weltwirtschaftsforums,9
diogo,9
staatsaufbau,9
fürchteten,9
508,9
künstlerisch,9
parishes,9
prävention,9
sprung,9
459,9
aeropuerto,9
ausrüstungen,9
späte,9
öls,9
weltkulturerbes,9
1492,9
erlernt,9
papiere,9
publikation,9
kwa,9
örtliche,9
ausreichender,9
ausreichenden,9
kyrill,9
führender,9
kärntner,9
papiamentu,9
papaya,9
spüren,9
sprachpolitik,9
510,9
weltproduktion,9
kürzer,9
devisenquelle,9
palästinakrieg,9
parsen,9
küstentiefland,9
devisenreserven,9
stab,9
dietrich,9
galiläa,9
küstenstraße,9
664,9
ksč,9
aussprechen,9
aussprachen,9
zeitrechnung,9
küstengebiet,9
sprachinseln,9
galerie,9
präkambrischen,9
fès,9
weltraumbahnhof,9
sprachlichen,9
679,9
kulturkreis,9
zutritt,9
diana,9
1519,9
kostenloses,9
versicherten,9
funden,9
fundstätte,9
vorgängerin,9
übergangspräsident,9
648,9
besatzungszonen,9
anschlüsse,9
gebräuche,9
langsame,9
vorbildlich,9
geboten,9
automobile,9
anse,9
angehörte,9
penang,9
konferenzen,9
autokratisch,9
konfessionell,9
gebirgsland,9
eritreische,9
konkreten,9
weitverbreitete,9
297,9
konkurrent,9
protected,9
stilistisch,9
strategien,9
übergangspräsidenten,9
649,9
strauß,9
bergkette,9
kollegen,9
stromschnellen,9
gedruckte,9
bergleute,9
streymoy,9
streits,9
sowjetrussland,9
kolonialisiert,9
ozeanischen,9
geckos,9
fundamentalisten,9
ac,9
westfälischen,9
westfalkland,9
1536,9
volkskirche,9
promille,9
beschafft,9
geburtsort,9
acapulco,9
geburtenziffer,9
kommerzieller,9
angela,9
dire,9
ansichten,9
überfischung,9
fungierte,9
ausgetauscht,9
pazifiks,9
pyramiden,9
funktioniert,9
auszugleichen,9
diplomat,9
ernsthafte,9
konzil,9
kooperationsrates,9
auszeichnen,9
derzeitiger,9
berief,9
gazella,9
destabilisierung,9
landmassen,9
korean,9
putins,9
addo,9
koror,9
korps,9
erkenntnisse,9
ausgezeichnete,9
ausgezeichneten,9
future,9
versickert,9
korrupte,9
konzentrierten,9
protestbewegung,9
diplomatisch,9
stellvertretender,9
bergwerken,9
ausgestattete,9
konstituierende,9
6500,9
konstitution,9
diplôme,9
konsul,9
steuersatz,9
kontaminiert,9
angeht,9
ansiedlungen,9
296,9
sternförmig,9
282,9
zehnfache,9
konzentrationslagern,9
derartigen,9
295,9
boykottierten,9
pässe,9
095,8
engordany,8
erdölindustrie,8
zweigen,8
erdgasreserven,8
zurückgehende,8
erneuter,8
biokapazität,8
erdrutsche,8
europapokal,8
erdrutschsieg,8
erdkruste,8
evolution,8
english,8
enteignungen,8
bitten,8
emilia,8
engagierten,8
zweitlängste,8
golfs,8
essequibo,8
entstehende,8
est,8
bull,8
μg,8
erheblichem,8
elektronischer,8
zurücktreten,8
endes,8
zweiteilung,8
erklärungen,8
erkrankten,8
entlasten,8
elektroautos,8
erkundeten,8
behauptung,8
eswatinis,8
elektro,8
bips,8
behinderung,8
billigte,8
erkundung,8
blanco,8
erz,8
elternteil,8
entschlossen,8
erzwang,8
erzählung,8
empfohlen,8
eröffnen,8
erwerbstätig,8
burka,8
zweithöchsten,8
bursa,8
goldvorkommen,8
escaldes,8
erhoffte,8
elias,8
zweitens,8
burkinischen,8
erkannt,8
billigung,8
bih,8
electricity,8
zyklus,8
bjp,8
eurasische,8
bishop,8
bildband,8
zwergwale,8
zurückgenommen,8
bismarck,8
ermittlung,8
bujumbura,8
erfolglosen,8
entfaltete,8
entfalten,8
erfolgreichster,8
erstarken,8
eisfreien,8
entertainment,8
beherbergte,8
energieproduktion,8
erfindungen,8
eisfrei,8
euromünzen,8
bildungssektor,8
bundesstraßen,8
gorillas,8
binnenhäfen,8
zusammenfluss,8
zweitwichtigsten,8
zurückging,8
zurückgewiesen,8
goa,8
gondwana,8
binnenmarktes,8
gottesdiensten,8
busch,8
entwicklungslandes,8
energiebedarf,8
zusammengesetzt,8
erstens,8
buckelgongs,8
bilanz,8
gorda,8
zusammengelegt,8
erstellte,8
biosphärenreservate,8
zweigeteilt,8
gneis,8
enrico,8
dschebel,8
exekutiven,8
demokratisierungsprozess,8
gestaltung,8
chau,8
1535,8
zarenreich,8
gebraten,8
überfüllten,8
gebirgsregion,8
gebirgslandschaft,8
gebilligt,8
delegationen,8
gesteckt,8
zebras,8
denkbar,8
1525,8
1524,8
gebauten,8
deregulierung,8
geachtet,8
delfin,8
chemieindustrie,8
gaststätten,8
brandrodung,8
bereitete,8
gegenstück,8
chinese,8
dawa,8
dayton,8
gegenkandidaten,8
überträgt,8
dazugehörige,8
zakopane,8
chemins,8
gefälschten,8
deckung,8
geflüchtet,8
children,8
gefangenschaft,8
gefangener,8
1538,8
dehnt,8
box,8
gestellten,8
gehoben,8
wählerinnen,8
fürstliche,8
ösling,8
fürchtete,8
gesundheitsfürsorge,8
dick,8
chagos,8
dicke,8
diekirch,8
fülle,8
dhofar,8
führungspositionen,8
berufsschule,8
gesundheitszustand,8
gesungene,8
ölpreise,8
1683,8
félix,8
fällige,8
dialogs,8
042,8
gastronomie,8
überbleibsel,8
detaillierte,8
gaston,8
gastland,8
gasreserven,8
changai,8
deuten,8
gary,8
überdeckt,8
garda,8
dezentral,8
überarbeitung,8
bouterse,8
zehnmal,8
deutung,8
gambier,8
deviseneinnahmen,8
gama,8
galicien,8
geheimdienstes,8
1571,8
blockieren,8
generäle,8
constitucional,8
control,8
churchill,8
1613,8
geographic,8
überseedépartement,8
gent,8
geschriebene,8
corruption,8
geopolitische,8
geschuldet,8
geschwindigkeiten,8
generalsekretärs,8
generalkonsulat,8
generaldirektor,8
geschwister,8
belgisch,8
überseegebiete,8
consell,8
chöre,8
cuf,8
wüstensteppe,8
brigade,8
belle,8
geschickte,8
belletristik,8
coco,8
1640,8
collegium,8
geringes,8
comesa,8
brennpunkt,8
belutschistans,8
gerichtete,8
wütete,8
gepflanzt,8
concacaf,8
condé,8
1618,8
brennstoff,8
breitband,8
yen,8
belasteten,8
dap,8
gelbe,8
1580,8
gekündigt,8
gesetzliches,8
gekommenen,8
chow,8
braucht,8
chong,8
überlegen,8
beratung,8
gesichtspunkten,8
geiselnahme,8
yves,8
gehörige,8
gesorgt,8
berechtigung,8
belastungen,8
1572,8
1667,8
belebt,8
gemeldeten,8
daegu,8
cumbia,8
christine,8
überquerten,8
cyprus,8
brazzaville,8
yi,8
gemeinderäte,8
überprüft,8
gemeindeebene,8
braun,8
